IDENT,AGE10,CA0ACATAEU_15,CA0AREGIONF_15,CA0AREG_15,CA1,CA11,CA12,CA20_15,CA23A,CA7,CA8,CA8B3,HABDE_15,OS1,PER1,Q1,Q31,STRADEF,CONTRAT_15,DEST,LIEUNAIS,PCS_15,PHD,PONDEF,POSPRO_15,REGETAB,SALPRS_15,SITDE_15,TAPE,TAPI,ZUS
C0089194,21,111,NORD-PAS-DE-CALAIS,31,,1,1,1,2,,,,02,1,2,2,2,25,,CER,00,,05,78.274744288,,31,,3,,,2
C0089277,21,111,NORD-PAS-DE-CALAIS,31,,1,1,2,2,,,,03,1,1,1,2,38,"02 CDI, Fonctionnaire",CER,00,543A,10L,57.727821616,91,31,1511,1,0,21,2
C0089284,22,111,NORD-PAS-DE-CALAIS,31,,1,1,2,2,3,3,2,02,1,1,2,2,34,"02 CDI, Fonctionnaire",CER,00,477A,09L,45.216560918,92,31,1598,1,3,8,1
C0089387,21,111,NORD-PAS-DE-CALAIS,31,,1,6,2,2,2,,,02,2,1,2,2,20,03 Contrat aidé,CER,00,531A,05,39.87655845,92,31,1240,1,2,,2
C0089462,21,111,NORD-PAS-DE-CALAIS,31,2,2,1,2,2,,,,01,1,1,1,2,20,"02 CDI, Fonctionnaire",CER,00,622B,03T,41.938242889,02,31,1450,1,5,5,2
C0089533,21,111,ÎLE-DE-FRANCE,11,,5,1,2,2,,,,03,1,1,2,2,20,03 Contrat aidé,CER,00,373B,07T,35.011294833,71,11,1654,1,0,0,2
C0089589,21,120,NORD-PAS-DE-CALAIS,31,,2,2,2,2,,,,03,1,1,2,2,20,"02 CDI, Fonctionnaire",CER,00,461F,05,108.28116486,03,31,1625,1,0,45,2
C0089594,21,111,NORD-PAS-DE-CALAIS,31,,1,1,2,2,,,,02,1,1,2,2,34,,CER,00,,09L,56.496413269,,31,,3,,,2
C0089630,21,111,NORD-PAS-DE-CALAIS,31,,1,1,2,2,,,,02,2,1,1,2,34,"02 CDI, Fonctionnaire",CER,00,473B,06I,56.223520282,05,31,2500,1,0,22,2
C0089723,21,111,NORD-PAS-DE-CALAIS,31,,1,5,2,2,,,,01,2,2,1,2,34,"02 CDI, Fonctionnaire",CER,00,388A,09M,46.91811552,71,31,2060,1,0,2,2
